bin_id,sender,receiver,cc,sender_type,receiver_type,dlp_policy,dlp_category
BIN_001,travis11@yuva.com,shannon97@gmail.com,,FTE,Personal,PII_AADHAAR,PII-Content
BIN_001,amandariley@yuva.com,wporter@yahoo.com,,FTE,Personal,PII_PAN,PII-Content
BIN_001,mfranklin@yuva.com,daybrian@gmail.com,,FTE,Personal,PII_PAN,PII-Content
BIN_001,sarahallen@yuva.com,choffman@yahoo.com,,FTE,Personal,PII_AADHAAR,PII-Content
BIN_001,veronicahooper@yuva.com,danieldyer@gmail.com,,FTE,Personal,PII_AADHAAR,PII-Content
BIN_001,moranchristopher@yuva.com,janicemartin@yahoo.com,,FTE,Personal,PII_PAN,PII-Content
BIN_001,marcopowell@yuva.com,matthew84@gmail.com,,FTE,Personal,PII_AADHAAR,PII-Content
BIN_001,gloria20@yuva.com,phillipsisaiah@gmail.com,,FTE,Personal,PII_DL,PII-Content
BIN_001,hchapman@yuva.com,gruiz@gmail.com,,FTE,Personal,PII_DL,PII-Content
BIN_001,raymondgarcia@yuva.com,rhonda96@yahoo.com,,FTE,Personal,PII_DL,PII-Content
BIN_001,bushpamela@yuva.com,mortonpatrick@gmail.com,,FTE,Personal,PII_AADHAAR,PII-Content
BIN_001,sjones@yuva.com,tarapoole@yahoo.com,,FTE,Personal,PII_DL,PII-Content
BIN_001,qdavis@yuva.com,elizabeth47@yahoo.com,,FTE,Personal,PII_DL,PII-Content
BIN_001,amanda93@yuva.com,nsmith@yahoo.com,,FTE,Personal,PII_PAN,PII-Content
BIN_001,brian55@yuva.com,wrightshannon@yahoo.com,,FTE,Personal,PII_AADHAAR,PII-Content
BIN_001,paceapril@yuva.com,holiver@gmail.com,,FTE,Personal,PII_PAN,PII-Content
BIN_001,ohart@yuva.com,rubenhoffman@yahoo.com,,FTE,Personal,PII_PAN,PII-Content
BIN_001,edwardssarah@yuva.com,dianechristian@gmail.com,,FTE,Personal,PII_DL,PII-Content
BIN_001,fpoole@yuva.com,jason07@yahoo.com,,FTE,Personal,PII_PAN,PII-Content
BIN_001,arroyorobert@yuva.com,brandonhanson@gmail.com,,FTE,Personal,PII_AADHAAR,PII-Content
BIN_001,kathleenbranch@yuva.com,zmason@yahoo.com,,FTE,Personal,PII_PAN,PII-Content
BIN_001,kimberlymiles@yuva.com,markwoods@gmail.com,,FTE,Personal,PII_PAN,PII-Content
BIN_001,cory57@yuva.com,cruzcynthia@gmail.com,,FTE,Personal,PII_DL,PII-Content
BIN_001,qperez@yuva.com,cindybailey@gmail.com,,FTE,Personal,PII_AADHAAR,PII-Content
BIN_001,ronald89@yuva.com,philipstafford@yahoo.com,,FTE,Personal,PII_PAN,PII-Content
BIN_001,jennifermccormick@yuva.com,pmiller@gmail.com,,FTE,Personal,PII_PAN,PII-Content
BIN_001,zmoore@yuva.com,penaandrew@gmail.com,,FTE,Personal,PII_DL,PII-Content
BIN_001,gbaker@yuva.com,amanda34@gmail.com,,FTE,Personal,PII_AADHAAR,PII-Content
BIN_001,michael94@yuva.com,amymayo@yahoo.com,,FTE,Personal,PII_AADHAAR,PII-Content
BIN_001,lopezchristopher@yuva.com,mnichols@gmail.com,,FTE,Personal,PII_AADHAAR,PII-Content
BIN_001,mosleymichael@yuva.com,urosario@yahoo.com,,FTE,Personal,PII_DL,PII-Content
