Acting User,Receiver,Cc,Application,Assignee,Incident Id,# Violations,DLP Profile,DLP Rule,DLP Policy,Severity,Status,True File Type,Time (GMT),Timestamp
user_49@yuva.com,vendor_8@partner.com,,email,analyst3,6585863901973519,18,DL,DL,DL,High,low_priority,Tag Image,05/30/2026 09:46:41,1780114601.212784
user_161@yuva.com,personal_86@gmail.com,,email,analyst4,2721648914480100,138,BU,BU,BU,Critical,pending review,Tag Image,06/18/2026 14:22:41,1781772761.212784
user_257@yuva.com,vendor_44@partner.com,"manager_3@yuva.com,manager_4@yuva.com",email,analyst5,3060179139353321,122,DL,DL,DL,Critical,businessrequirement,PDF Document,04/12/2026 21:06:41,1776008201.212784
user_384@yuva.com,vendor_49@partner.com,,email,analyst3,2459076329338356,73,aadhaar,aadhaar,aadhaar,Critical,pending review,Plain Text,06/03/2026 08:38:41,1780456121.212784
user_385@yuva.com,personal_81@gmail.com,,email,analyst1,3241500087090803,34,aadhaar,aadhaar,aadhaar,High,low_priority,Tag Image,05/20/2026 15:05:41,1779269741.212784
user_82@yuva.com,personal_63@gmail.com,,email,analyst3,2825189256077274,112,aadhaar,aadhaar,aadhaar,Critical,pending review,Zip Archive,04/24/2026 05:51:41,1776990101.212784
user_200@yuva.com,personal_29@gmail.com,,email,analyst2,2634521637191188,136,sourcecode,sourcecode,sourcecode,Critical,FalsePositive,PDF Document,05/09/2026 05:03:41,1778283221.212784
user_83@yuva.com,vendor_39@partner.com,,email,analyst5,9778261289943989,1,ENCRYPTED,ENCRYPTED,ENCRYPTED,Medium,FalsePositive,Zip Archive,04/17/2026 14:37:41,1776416861.212784
user_94@yuva.com,vendor_5@partner.com,,email,analyst5,2626986179301161,1,ENCRYPTED,ENCRYPTED,ENCRYPTED,Medium,Critical_Escalation,Zip Archive,04/27/2026 21:46:41,1777306601.212784
user_107@yuva.com,personal_40@gmail.com,,email,analyst5,2000139736819767,10,BU,BU,BU,Medium,low_priority,Zip Archive,06/17/2026 14:19:41,1781686181.212784
user_346@yuva.com,personal_13@gmail.com,,email,analyst1,3121330500820835,1,ENCRYPTED,ENCRYPTED,ENCRYPTED,Medium,Critical_Escalation,Zip Archive,06/09/2026 09:51:41,1780978901.212784
contractor_36@yuvaext.com,vendor_26@partner.com,,email,analyst5,1458195247950795,1,ENCRYPTED,ENCRYPTED,ENCRYPTED,Medium,Critical_Escalation,Zip Archive,07/02/2026 04:52:41,1782948161.212784
user_352@yuva.com,personal_57@gmail.com,"colleague_38@yuva.com,colleague_24@yuva.com",email,analyst2,2934285306072287,2,aadhaar,aadhaar,aadhaar,Medium,low_priority,Zip Archive,06/01/2026 22:45:41,1780334141.212784
user_145@yuva.com,personal_66@gmail.com,,email,analyst5,2556807632048618,115,aadhaar,aadhaar,aadhaar,Critical,pending review,Plain Text,04/22/2026 21:47:41,1776874661.212784
user_89@yuva.com,vendor_27@partner.com,,email,analyst3,8192132694255472,42,aadhaar,aadhaar,aadhaar,High,low_priority,Tag Image,06/21/2026 21:34:41,1782057881.212784
user_401@yuva.com,personal_31@gmail.com,"colleague_36@yuva.com,manager_5@yuva.com",email,analyst4,3339664804370917,47,aadhaar,aadhaar,aadhaar,High,low_priority,Tag Image,06/14/2026 20:25:41,1781448941.212784
user_119@yuva.com,personal_79@gmail.com,,email,analyst1,3193336446754991,81,BU,BU,BU,Critical,pending review,Zip Archive,07/03/2026 18:09:41,1783082381.212784
user_270@yuva.com,vendor_12@partner.com,,email,analyst4,2887787762522243,80,DL,DL,DL,Critical,pending review,Tag Image,05/27/2026 00:33:41,1779822221.212784
user_29@yuva.com,personal_8@gmail.com,,email,analyst1,1023230618842789,130,sourcecode,sourcecode,sourcecode,Critical,pending review,Tag Image,05/18/2026 00:58:41,1779046121.212784
user_178@yuva.com,personal_44@gmail.com,colleague_93@yuva.com,email,analyst4,1918147072444263,131,aadhaar,aadhaar,aadhaar,Critical,pending review,Plain Text,04/21/2026 14:32:41,1776762161.212784
user_106@yuva.com,vendor_43@partner.com,,email,analyst2,1897637176947477,120,aadhaar,aadhaar,aadhaar,Critical,pending review,Zip Archive,05/29/2026 20:01:41,1780065101.212784
